account_id,customer_id,account_type,account_open_date,branch_id,current_balance,account_status
A00001,C0001,Savings,2021-04-12,B004,71256.37,Active
A00002,C0002,Savings,2025-10-18,B013,48943.89,Active
A00003,C0003,Savings,2022-07-16,B007,46045.61,Active
A00004,C0004,Savings,2022-06-12,B009,46046.1,Active
A00005,C0005,Salary,2023-02-10,B013,184984.2,Active
A00006,C0005,Savings,2023-01-28,B001,82529.05,Active
A00007,C0006,Salary,2024-01-29,B005,59134.2,Active
A00008,C0007,Savings,2021-01-13,B002,73088.19,Active
A00009,C0008,Savings,2024-04-03,B009,61632.52,Active
A00010,C0008,Savings,2024-03-04,B011,12073.13,Active
A00011,C0009,Savings,2021-12-11,B004,26621.96,Dormant
A00012,C0009,Salary,2021-12-02,B007,96403.54,Active
A00013,C0010,Savings,2022-06-19,B012,116950.21,Active
A00014,C0011,Savings,2023-02-20,B011,46294.12,Active
A00015,C0012,Savings,2025-04-02,B009,37456.37,Active
A00016,C0012,Salary,2025-02-28,B011,85558.04,Active
A00017,C0013,Current,2024-11-17,B007,210607.64,Active
A00018,C0014,Savings,2020-07-24,B003,44362.63,Active
A00019,C0015,Savings,2025-04-07,B011,52893.73,Active
A00020,C0016,Current,2023-01-23,B003,159306.74,Active
A00021,C0017,Current,2023-01-01,B002,438240.89,Active
A00022,C0018,Savings,2025-10-29,B004,22571.75,Active
A00023,C0019,Savings,2026-01-07,B012,20652.66,Active
A00024,C0020,Savings,2023-07-27,B004,60024.62,Dormant
A00025,C0021,Savings,2020-10-15,B011,81269.78,Dormant
A00026,C0022,Current,2026-01-30,B003,320375.86,Active
A00027,C0022,Savings,2026-01-16,B012,49644.74,Active
A00028,C0023,Savings,2023-07-16,B005,44091.37,Active
A00029,C0024,Savings,2023-12-09,B001,39659.18,Active
A00030,C0025,Savings,2022-08-02,B012,95844.72,Active
A00031,C0026,Savings,2022-06-04,B014,64633.51,Active
A00032,C0027,Savings,2024-09-02,B008,41719.29,Active
A00033,C0028,Savings,2020-08-20,B006,34139.27,Active
A00034,C0029,Savings,2022-11-08,B014,75908.73,Active
A00035,C0030,Savings,2022-12-10,B015,94589.15,Active
A00036,C0031,Current,2020-03-11,B014,460371.9,Active
A00037,C0032,Savings,2020-10-10,B010,30351.74,Active
A00038,C0032,Current,2020-09-19,B013,248469.52,Active
A00039,C0033,Salary,2023-05-10,B012,58746.57,Active
A00040,C0033,Salary,2023-05-09,B002,71244.94,Active
A00041,C0034,Savings,2020-09-06,B006,84514.97,Active
A00042,C0035,Salary,2026-01-30,B010,166533.19,Active
A00043,C0036,Current,2022-09-23,B006,352292.42,Active
A00044,C0036,Current,2022-09-17,B002,205191.19,Active
A00045,C0037,Savings,2024-10-24,B011,52171.8,Active
A00046,C0038,Current,2024-06-12,B010,604228.45,Active
A00047,C0038,Salary,2024-08-02,B009,84340.64,Active
A00048,C0039,Savings,2025-03-23,B013,44151.7,Active
A00049,C0040,Savings,2023-12-14,B009,46475.78,Active
A00050,C0041,Salary,2023-06-22,B002,98801.15,Active
A00051,C0042,Savings,2021-08-01,B008,31046.06,Active
A00052,C0043,Current,2022-05-18,B001,222988.14,Active
A00053,C0043,Savings,2022-05-12,B009,89164.6,Active
A00054,C0044,Salary,2022-11-13,B011,97210.4,Dormant
A00055,C0045,Current,2023-02-06,B008,308457.21,Active
A00056,C0046,Salary,2021-10-01,B014,137454.85,Active
A00057,C0046,Salary,2021-10-02,B010,50299.91,Active
A00058,C0047,Savings,2023-08-03,B002,43331.72,Active
A00059,C0048,Savings,2024-09-11,B011,63600.94,Active
A00060,C0049,Current,2020-06-07,B001,335168.81,Active
A00061,C0050,Current,2021-11-09,B012,125548.35,Active
A00062,C0051,Savings,2025-04-23,B015,40740.97,Active
A00063,C0052,Salary,2023-03-08,B012,72355.92,Active
A00064,C0053,Salary,2023-10-31,B014,101471.82,Active
A00065,C0054,Savings,2021-04-26,B011,62194.86,Dormant
A00066,C0055,Savings,2025-11-11,B009,50938.7,Active
A00067,C0056,Salary,2025-12-28,B008,18009.97,Active
A00068,C0056,Salary,2025-12-13,B003,78708.11,Active
A00069,C0057,Savings,2023-08-20,B007,55324.73,Active
A00070,C0058,Savings,2023-05-22,B007,181012.48,Closed
A00071,C0058,Salary,2023-05-11,B013,70941.46,Active
A00072,C0059,Salary,2022-02-02,B008,95700.71,Active
A00073,C0059,Savings,2022-02-07,B012,100041.78,Active
A00074,C0060,Current,2024-11-15,B014,424255.98,Active
A00075,C0061,Current,2021-12-09,B004,564972.0,Active
A00076,C0061,Savings,2022-01-23,B006,19400.66,Active
A00077,C0062,Current,2022-09-21,B003,166255.21,Active
A00078,C0062,Current,2022-08-27,B012,214853.93,Active
A00079,C0063,Current,2025-06-14,B011,114141.74,Active
A00080,C0064,Salary,2024-06-16,B005,83406.11,Active
A00081,C0065,Savings,2021-04-05,B001,28588.11,Active
A00082,C0066,Savings,2020-09-12,B013,121658.26,Active
A00083,C0067,Savings,2023-07-26,B014,31624.33,Active
A00084,C0068,Salary,2025-01-22,B001,65236.78,Active
A00085,C0069,Salary,2025-12-10,B012,126838.47,Dormant
A00086,C0070,Current,2023-11-08,B004,142294.49,Active
A00087,C0071,Savings,2022-05-29,B011,16175.66,Dormant
A00088,C0072,Salary,2024-10-06,B011,89390.35,Closed
A00089,C0073,Current,2024-06-24,B004,334972.55,Dormant
A00090,C0074,Savings,2023-12-05,B004,83159.32,Active
A00091,C0074,Current,2023-11-25,B006,380773.32,Active
A00092,C0075,Savings,2020-05-02,B012,63632.69,Active
A00093,C0076,Current,2020-08-04,B003,201006.45,Active
A00094,C0077,Savings,2024-05-06,B005,61284.0,Active
A00095,C0078,Salary,2023-12-25,B001,95233.6,Active
A00096,C0079,Savings,2021-10-06,B015,33239.34,Active
A00097,C0079,Salary,2021-10-25,B011,210634.33,Active
A00098,C0080,Salary,2022-12-07,B009,105530.54,Active
A00099,C0081,Savings,2021-12-04,B003,27413.71,Active
A00100,C0082,Savings,2024-04-11,B009,83390.6,Active
A00101,C0083,Savings,2023-06-10,B006,91389.93,Active
A00102,C0084,Salary,2020-11-08,B009,101973.79,Closed
A00103,C0085,Salary,2024-01-30,B001,68570.59,Active
A00104,C0085,Savings,2024-03-04,B015,32309.63,Active
A00105,C0086,Salary,2023-03-08,B011,76281.94,Active
A00106,C0087,Salary,2022-10-18,B007,97903.83,Active
A00107,C0087,Savings,2022-11-04,B015,53759.1,Active
A00108,C0088,Salary,2024-05-02,B008,174425.48,Active
A00109,C0089,Savings,2022-11-29,B009,76488.37,Dormant
A00110,C0089,Savings,2022-12-28,B013,29951.14,Active
A00111,C0090,Savings,2022-04-11,B011,25446.45,Active
A00112,C0091,Salary,2025-08-06,B004,106040.44,Active
A00113,C0092,Current,2024-04-01,B007,260415.79,Active
A00114,C0092,Savings,2024-02-29,B011,80216.25,Active
A00115,C0093,Savings,2023-01-17,B002,70330.31,Active
A00116,C0094,Savings,2022-02-11,B014,50989.94,Dormant
A00117,C0095,Savings,2023-04-01,B007,30182.13,Active
A00118,C0096,Savings,2026-02-06,B001,17580.2,Active
A00119,C0097,Current,2025-08-16,B001,327367.48,Active
A00120,C0098,Savings,2020-09-17,B005,22116.52,Active
A00121,C0099,Savings,2020-09-04,B015,29361.49,Active
A00122,C0100,Savings,2024-10-04,B003,58513.16,Active
A00123,C0100,Current,2024-10-21,B013,302340.89,Active
A00124,C0101,Current,2024-12-04,B005,150770.0,Dormant
A00125,C0102,Salary,2022-06-06,B011,145652.87,Dormant
A00126,C0102,Savings,2022-06-18,B014,95684.52,Active
A00127,C0103,Current,2024-09-03,B007,379515.76,Active
A00128,C0104,Savings,2025-03-31,B012,71934.87,Active
A00129,C0105,Salary,2024-11-08,B014,107977.79,Active
A00130,C0106,Current,2023-06-25,B005,1367845.11,Active
A00131,C0107,Current,2023-03-15,B001,465088.63,Active
A00132,C0108,Savings,2023-09-17,B011,77561.79,Active
A00133,C0108,Current,2023-08-19,B005,190158.2,Active
A00134,C0109,Salary,2020-04-02,B006,68950.1,Active
A00135,C0110,Savings,2025-02-11,B002,170272.66,Active
A00136,C0111,Savings,2025-04-28,B011,12639.99,Active
A00137,C0112,Current,2024-09-02,B013,226815.43,Dormant
A00138,C0113,Savings,2025-02-19,B013,97389.48,Active
A00139,C0114,Savings,2025-10-16,B006,33216.66,Active
A00140,C0115,Savings,2025-08-25,B008,78750.3,Active
A00141,C0116,Savings,2025-01-06,B011,54835.59,Active
A00142,C0117,Salary,2021-11-13,B015,52135.82,Active
A00143,C0118,Current,2021-04-13,B012,79618.9,Dormant
A00144,C0119,Current,2023-03-02,B014,322833.06,Active
A00145,C0119,Salary,2023-03-23,B004,47116.77,Active
A00146,C0120,Salary,2025-10-12,B009,74509.7,Active
