Investment_ID,Property_ID,Purchase_Price,Purchase_Date,Current_Value,Annual_Rental_Income,ROI_Percentage,processed_by_pipeline_id,last_updated_timestamp
5bd20c98-a513-4ea0-ba53-e34de6d5901d,0f844fef-1931-49ee-a56c-0941fbf24050,1321144.99,2020-12-19,1427837.57,5305.58,0.4,8b621d41-5e09-49ee-af88-bdecfb1e143b,2025-06-30 01:17:45.734491
d2fe2fde-d918-43e5-b2f2-5eef1f45dbfd,0986bbeb-f23e-423d-8b9b-d93423c86d30,1295536.96,2020-10-20,1572358.41,25518.33,1.97,f7dc67e0-3097-4b2b-86a0-2a9b65ec7acd,2025-07-06 01:17:45.734589
0577aea9-f899-4246-98de-8ebba3b5cece,271e3ee2-b1a6-41f1-a20e-99d33b33f3d8,166409.55,2022-06-24,184402.34,51667.64,31.05,a446be72-364c-411a-a9ab-364a1777e8cb,2025-06-26 01:17:45.734696
34885a46-9088-4eaf-8977-6598203c8c25,c71d5e60-1d52-46ab-b7e6-427cbf780e3f,712843.58,2020-10-04,938386.09,45110.06,6.33,fd235def-3e5a-47e3-9560-db22c96b5edb,2025-06-28 01:17:45.734811
dea45c19-d024-4d72-b748-967f961d33ba,d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,939295.37,2020-11-01,956787.26,28440.44,3.03,350843f0-8de0-4fc2-83e1-5a85d46ef104,2025-07-16 01:17:45.734896
46fb7bf3-00b9-44a3-9892-40ace68933a9,398d1ca6-8b68-40b5-9d61-fac36cd5e859,656092.47,2021-07-14,824974.45,38550.21,5.88,c9e48e8c-25c6-4c45-863d-04ee541c7a86,2025-07-18 01:17:45.734971
2cabd7e7-cc6b-46e5-802a-df9c8a4b8f7c,885f6e66-c2b6-42c5-ba5d-310011b7e948,571560.63,2024-03-12,597620.73,51970.46,9.09,21472a15-fcce-46f6-a50a-4578fbe94499,2025-06-30 01:17:45.735043
c9d6a63b-ca3c-4f5f-9bb5-c40c03cde2e3,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,272341.88,2021-01-04,319891.21,32882.54,12.07,21bddb41-0699-4731-9dcf-8766a93b12cd,2025-06-30 01:17:45.735127
bde13c1b-2073-4f6d-8d6a-05b343ef2016,680ac07a-2a93-4d62-bc83-5dc0d9441fa5,851524.88,2021-07-22,907474.59,14431.96,1.69,2c9b662e-040a-4aae-92e2-afd996bf10ab,2025-07-05 01:17:45.735202
5cae9610-c72c-4fe3-b2c2-2a1679eb4168,dc8aee30-be60-43f7-a8be-9288e5af6e39,261768.28,2022-05-02,307533.21,56622.42,21.63,104556e5-bee3-4b79-9d18-1ee986ad8a8c,2025-06-30 01:17:45.735306
0b19f88e-9d77-445e-b206-c26938b77c07,63d62a39-c0e3-4efd-8c71-e0fe5a0cdd7c,1255422.45,2022-09-23,1592790.26,19237.71,1.53,80fb9296-73b6-409b-9bea-f6ac97fa7f04,2025-07-04 01:17:45.735411
a4b1f991-7542-4646-8d37-a539857dd3b3,ac9ed156-f63f-4e41-ba9a-ca5e176132ed,235488.42,2023-08-21,305738.33,25955.61,11.02,a8addf36-ddf2-45eb-a8a3-f341c8819065,2025-07-05 01:17:45.735503
1ba362e7-afa4-45e5-ad20-449666d06371,bf0d073d-821c-4336-9970-cf60ebff8d15,1233056.15,2020-09-04,1361097.2,13815.44,1.12,d8e88ebb-7a9e-4eef-bfa3-61be0f9240e1,2025-06-27 01:17:45.735605
9bb96155-5275-4b94-94ae-af5ce63658c9,1064005c-3985-43cf-bf76-be1d1efa2197,521173.09,2022-08-18,527853.17,59548.92,11.43,12d0498d-718d-4d05-a8e2-2743b65feea9,2025-07-04 01:17:45.735680
b64fa54a-8c61-4654-95da-75c1a21150f9,9a1de644-815e-46d1-bb8f-aa1837f8a88b,800129.77,2021-03-05,888406.72,36754.33,4.59,9fd34579-4667-42ce-a04e-178c10d08d11,2025-07-14 01:17:45.735763
9afd4015-816b-4b9f-b426-b1934b7e6b3c,e893be3d-7354-4a6f-a160-745985c7504b,248216.7,2021-12-05,283916.42000000004,27754.94,11.18,87d292a6-98ee-4c2b-be9f-ecaa6182f347,2025-06-26 01:17:45.735839
e0b15aba-a6a2-4967-a79b-44b6da509fed,5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,187157.05,2022-05-17,166204.9,37418.28,19.99,1d4a3d81-b3a7-40e0-8b08-587d1963c26d,2025-06-21 01:17:45.735923
3a7e8e14-e359-4ee1-b399-1a476e191042,9b49bd26-df57-459a-8715-a10343dac043,82544.7,2023-10-25,104954.70999999999,32568.89,39.46,370bc063-dd90-479e-b888-f6ed8d244e3e,2025-06-20 01:17:45.735990
50032b35-1857-4baf-bac7-e2b96a7e4c36,09cb3942-43f5-4a85-bbc9-f87af668a617,1068687.76,2022-04-21,1250942.73,20449.33,1.91,66132e69-7418-4109-93d1-bf0f56c438e4,2025-06-27 01:17:45.736057
