loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,tenure_months,loan_status
L00001,C0362,Auto,502728.4,8.8,2024-04-11,48,Active
L00002,C0074,Auto,1203726.08,9.43,2024-08-31,48,Active
L00003,C0375,Education,1463522.49,11.6,2025-12-24,84,Active
L00004,C0156,Business,874521.03,12.34,2020-11-25,120,Active
L00005,C0105,Home,8108439.94,8.16,2025-04-13,120,Active
L00006,C0395,Business,3394596.9,13.07,2024-12-01,60,Active
L00007,C0378,Home,4195859.63,8.0,2021-05-06,300,Active
L00008,C0125,Home,3906669.11,9.25,2022-06-23,120,Defaulted
L00009,C0069,Personal,199767.76,15.92,2025-11-28,48,Active
L00010,C0451,Home,2617591.82,8.34,2025-09-10,180,Active
L00011,C0010,Business,3779980.95,11.35,2023-02-01,120,Active
L00012,C0195,Personal,183307.35,12.7,2024-02-24,36,Active
L00013,C0407,Auto,1686576.48,9.84,2025-01-29,84,Active
L00014,C0085,Home,1596590.21,8.7,2025-01-14,240,Closed
L00015,C0372,Personal,416381.62,16.76,2021-11-13,60,Active
L00016,C0389,Auto,351661.08,8.94,2021-04-06,36,Active
L00017,C0496,Personal,500976.38,15.9,2023-05-18,36,Closed
L00018,C0031,Personal,215426.36,16.33,2020-05-18,36,Active
L00019,C0317,Home,6279551.9,9.21,2023-01-15,120,Active
L00020,C0409,Home,2274355.37,9.08,2022-03-02,240,Active
L00021,C0491,Home,1949777.43,9.12,2022-12-26,300,Closed
L00022,C0492,Personal,486693.06,14.18,2022-05-16,60,Active
L00023,C0281,Home,5298201.59,8.61,2022-09-25,300,Closed
L00024,C0357,Business,1235568.85,14.41,2022-08-27,120,Closed
L00025,C0077,Home,3021385.03,8.75,2024-09-02,300,Active
L00026,C0462,Business,3431305.74,14.17,2021-09-26,60,Active
L00027,C0498,Business,1386886.82,11.43,2025-07-05,60,Closed
L00028,C0212,Auto,1100420.4,9.9,2025-07-08,48,Active
L00029,C0102,Auto,1745842.16,10.52,2022-10-31,60,Closed
L00030,C0335,Personal,816956.53,14.57,2021-05-28,24,Active
L00031,C0476,Business,1159303.97,11.3,2024-09-13,120,Active
L00032,C0337,Personal,509690.18,17.17,2024-09-30,48,Active
L00033,C0441,Home,8399316.69,8.38,2023-06-03,120,Active
L00034,C0174,Auto,632995.36,9.79,2021-03-27,48,Closed
L00035,C0003,Home,1721416.18,8.91,2023-05-09,180,Closed
L00036,C0334,Home,8565284.71,8.32,2024-01-04,120,Active
L00037,C0410,Auto,393150.04,9.97,2023-03-02,84,Active
L00038,C0071,Education,1090852.42,9.24,2023-01-16,84,Active
L00039,C0210,Personal,418526.16,17.95,2021-12-08,48,Closed
