Property_ID,Address,City,State,Zip_Code,Property_Type,Bedrooms,Bathrooms,Square_Feet,Listing_Price,Listing_Date
815ef6d1-3b8f-4a18-b7f8-a88b17fc695a,43321 Brittany Bypass,Fort Worth,TX,76101,Land,,,1838,608719.67,2023-08-10
ce4a2bbd-c241-430b-81a9-e71fde8a774b,386 Shane Harbors,Dallas,TX,75201,Residential,2.0,2.0,2650,1429767.89,2025-04-06
18c26797-6142-4a7d-97be-31111a2a73ed,654 Jason Track,Fort Worth,TX,76101,Industrial,,,3346,1118091.37,2024-04-04
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,9407 Teresa Lane Apt. 849,Houston,TX,77001,Residential,4.0,1.0,2848,928088.34,2025-06-04
5af30553-5ec4-4e08-a9a3-b2e95d65a441,34131 Ramirez Roads,Dallas,TX,75201,Industrial,,,1207,297326.56,2025-04-25
fd5166e6-451b-4cf3-a123-fdf77656af72,419 Amanda Gardens,San Antonio,TX,78201,Commercial,,,3688,297292.19,2023-11-21
f16287e4-e9c3-49e0-b602-f8ac10f1bc81,503 Linda Locks,San Antonio,TX,78201,Residential,5.0,2.0,2258,157769.15,2024-02-10
ff5e9ff0-ff50-4de4-b825-67b85cabcc97,76724 John Points Suite 969,Houston,TX,77001,Land,,,3953,1309301.01,2024-05-23
10435a10-98ae-4334-ac12-ace8ae340454,710 Eric Estate,Dallas,TX,75201,Land,,,4999,931588.89,2025-03-24
f42d47cc-00d4-4f59-b427-3ca3287d06ca,9784 Erin Crescent Suite 514,Fort Worth,TX,76101,Industrial,,,4210,1084003.42,2024-06-19
87c5421e-ec24-43c5-8754-108ff4188f3f,281 Skinner Parkways Apt. 252,Austin,TX,73301,Commercial,,,4467,104332.9,2024-09-08
0ed42f1a-3d4c-4f37-8eb9-3effce88cb2d,570 Sarah Wells,Fort Worth,TX,76101,Commercial,,,1681,1457121.54,2025-04-23
79ac1b1e-a8e5-4e0c-a0de-435d2031d750,117 Tiffany Place,Dallas,TX,75201,Residential,3.0,2.0,1129,1261230.76,2025-03-03
e64d1bcb-7027-43a1-9f98-7c71a65e688e,8963 Jennifer Locks,Dallas,TX,75201,Land,,,3165,377583.23,2024-12-20
1223b513-5496-463c-9c11-10c1080aadfb,33150 Brianna Avenue Apt. 031,Dallas,TX,75201,Residential,2.0,4.0,1075,334100.58,2025-06-20
18d0752b-1825-4c54-b0be-b45f683514f2,7382 Sanchez Mountains,Fort Worth,TX,76101,Land,,,2718,336351.43,2025-04-05
6c006f61-23e2-4cb4-b2d8-567d894a05e4,6670 Bruce Stream Suite 133,Fort Worth,TX,76101,Land,,,1329,508545.2,2023-12-12
ed2662e9-17e0-41b7-b810-238303c72ba8,7317 Brent Plains,San Antonio,TX,78201,Industrial,,,4390,822777.92,2025-04-27
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,67736 Franklin Alley,San Antonio,TX,78201,Commercial,,,3215,690521.65,2024-05-16
da4bd9ca-eb5c-4467-80ba-cd647a0ecfea,6872 Kenneth Centers Apt. 500,Dallas,TX,75201,Residential,2.0,4.0,3153,490001.52,2024-10-13
91d63f78-e3e9-4e99-b10c-718b1eb0e38a,81219 Emma Freeway,Fort Worth,TX,76101,Land,,,2069,946890.37,2024-05-26
42c18a62-ef48-48d5-90fd-9d3f85d51695,909 Robert Prairie,San Antonio,TX,78201,Residential,5.0,3.0,1327,273778.75,2024-09-29
c07a30f2-edd4-453b-90f0-fd0a750cab75,534 Anderson Rue,San Antonio,TX,78201,Land,,,857,491306.12,2024-03-07
e117dac3-119c-4ea3-a180-50815958a499,79911 William Curve,Fort Worth,TX,76101,Commercial,,,1997,597065.63,2025-07-11
d12dbc9a-aaf9-4531-8200-b1f08768a84f,4278 Carr Valley,San Antonio,TX,78201,Industrial,,,4947,724899.73,2024-12-06
afffcfd2-341e-440b-97c7-00aab7b56ea7,124 Pamela Summit Apt. 449,San Antonio,TX,78201,Residential,1.0,1.0,2269,1193875.74,2023-12-28
430f801d-fad4-49e2-a319-dcb4217d65a0,740 Cynthia Village Suite 005,Fort Worth,TX,76101,Land,,,1378,359535.14,2025-03-07
d5a804eb-0939-43de-8bab-ce3b26286bfb,786 Daniel Spurs,San Antonio,TX,78201,Land,,,3698,807784.07,2025-06-19
