transaction_id,account_id,transaction_date,transaction_type,channel,amount,merchant_category,transaction_status
T000001,A00251,2024-06-27,UPI,Mobile,4535.66,Retail,Success
T000002,A00093,2025-10-04,NEFT,Mobile,45513.17,Education,Success
T000003,A00202,2024-04-30,IMPS,Internet Banking,34543.3,Retail,Success
T000004,A00575,2025-06-03,Debit,Branch,11740.97,Cash Withdrawal,Success
T000005,A00156,2025-12-02,NEFT,Mobile,27659.56,Healthcare,Success
T000006,A00045,2024-02-25,UPI,Mobile,276.58,Utility,Success
T000007,A00485,2024-02-14,Credit,Mobile,7652.1,Utility,Success
T000008,A00550,2024-04-28,Credit,Branch,27037.2,Loan EMI,Success
T000009,A00210,2025-11-24,NEFT,Internet Banking,39427.66,Utility,Success
T000010,A00441,2024-07-23,Debit,Branch,20511.56,Travel,Success
T000011,A00466,2024-05-28,Debit,Internet Banking,20869.37,Utility,Success
T000012,A00205,2025-10-09,Debit,ATM,10552.38,Education,Success
T000013,A00062,2024-10-14,Credit,Internet Banking,16378.43,Loan EMI,Success
T000014,A00232,2024-10-29,UPI,Mobile,312.76,Travel,Success
T000015,A00242,2024-03-29,UPI,Mobile,3952.75,Healthcare,Success
T000016,A00506,2025-04-18,Debit,Internet Banking,24495.65,Education,Success
T000017,A00234,2025-08-28,IMPS,Branch,47272.76,Utility,Success
T000018,A00503,2025-05-31,Credit,Internet Banking,12867.32,Loan EMI,Success
T000019,A00104,2025-04-08,UPI,Mobile,1470.5,Retail,Success
T000020,A00434,2024-08-11,Credit,ATM,21959.45,Education,Success
T000021,A00513,2025-11-16,Debit,Internet Banking,17563.23,Retail,Success
T000022,A00145,2025-12-21,UPI,Mobile,1117.06,Utility,Success
T000023,A00002,2025-10-04,Credit,ATM,4505.62,Retail,Success
T000024,A00578,2025-08-12,NEFT,Branch,10758.59,Utility,Success
T000025,A00057,2025-06-11,IMPS,Branch,70996.23,Education,Success
T000026,A00389,2025-04-21,UPI,Mobile,1446.14,Utility,Success
T000027,A00069,2025-07-28,ATM,ATM,1000.0,Cash Withdrawal,Success
T000028,A00575,2024-04-26,UPI,Mobile,2125.34,Travel,Success
T000029,A00341,2024-12-27,NEFT,Branch,35524.89,Healthcare,Success
T000030,A00366,2025-04-08,UPI,Mobile,448.59,Retail,Success
T000031,A00568,2024-10-26,UPI,Mobile,320.92,Utility,Failed
T000032,A00068,2024-07-11,NEFT,Mobile,24132.91,Utility,Success
T000033,A00306,2024-03-19,Credit,ATM,8464.59,Travel,Success
T000034,A00216,2025-06-17,IMPS,Internet Banking,25721.91,Education,Success
T000035,A00139,2025-04-30,Debit,Internet Banking,8634.39,Retail,Success
T000036,A00244,2025-06-16,UPI,Mobile,5438.09,Healthcare,Success
T000037,A00347,2025-05-12,UPI,Mobile,3043.76,Healthcare,Success
T000038,A00325,2024-06-24,NEFT,Internet Banking,39821.23,Healthcare,Success
T000039,A00049,2024-05-31,Debit,Internet Banking,10314.86,Utility,Success
T000040,A00571,2024-10-19,Debit,Branch,10561.69,Utility,Success
T000041,A00337,2025-08-11,Credit,ATM,17169.5,Healthcare,Success
T000042,A00036,2025-11-12,Debit,ATM,10250.07,Utility,Success
T000043,A00171,2025-06-30,Debit,Mobile,19073.55,Investment,Success
T000044,A00490,2024-11-23,Credit,ATM,13588.74,Cash Withdrawal,Success
T000045,A00154,2025-08-01,ATM,ATM,5000.0,Cash Withdrawal,Success
T000046,A00512,2024-02-11,Credit,Mobile,532265.39,Cash Withdrawal,Success
T000047,A00379,2024-04-04,Debit,Branch,9838.11,Education,Success
T000048,A00207,2024-01-24,Credit,Internet Banking,21207.34,Travel,Success
T000049,A00524,2024-11-21,UPI,Mobile,587.12,Retail,Success
T000050,A00155,2025-03-13,Debit,ATM,6860.46,Retail,Success
T000051,A00476,2025-07-28,Credit,Internet Banking,31908.26,Investment,Success
T000052,A00454,2025-02-28,Credit,Mobile,18581.42,Utility,Success
T000053,A00560,2024-12-09,Credit,Internet Banking,547164.2,Travel,Success
T000054,A00184,2025-07-23,UPI,Mobile,6383.9,Travel,Success
T000055,A00308,2025-07-21,UPI,Mobile,1434.04,Utility,Success
T000056,A00495,2024-08-17,Credit,Mobile,21176.75,Utility,Failed
T000057,A00505,2024-05-07,ATM,ATM,2000.0,Cash Withdrawal,Success
T000058,A00257,2024-01-30,Credit,ATM,22128.47,Loan EMI,Success
T000059,A00385,2025-08-18,UPI,Mobile,4310.83,Healthcare,Success
T000060,A00509,2025-12-11,NEFT,Mobile,12557.88,Retail,Success
T000061,A00273,2024-06-15,UPI,Mobile,1426.71,Travel,Success
T000062,A00142,2024-12-31,Credit,ATM,13437.57,Healthcare,Failed
T000063,A00378,2024-02-19,Debit,Mobile,27578.71,Education,Success
T000064,A00099,2025-09-05,ATM,ATM,10000.0,Cash Withdrawal,Success
T000065,A00320,2024-10-04,ATM,ATM,20000.0,Cash Withdrawal,Success
T000066,A00374,2024-05-27,Credit,ATM,14525.81,Healthcare,Success
T000067,A00171,2024-04-14,Debit,Branch,22157.39,Education,Success
T000068,A00561,2025-06-28,ATM,ATM,20000.0,Cash Withdrawal,Success
T000069,A00492,2024-03-19,Credit,Branch,4077.34,Retail,Success
T000070,A00386,2024-05-22,NEFT,Branch,26800.52,Retail,Success
T000071,A00323,2024-01-30,ATM,ATM,500.0,Cash Withdrawal,Success
T000072,A00149,2025-12-05,Debit,Branch,24440.1,Education,Success
T000073,A00118,2024-03-20,Credit,Internet Banking,9608.83,Investment,Success
T000074,A00547,2025-08-30,Credit,Mobile,10948.4,Cash Withdrawal,Success
T000075,A00011,2024-04-08,NEFT,Branch,90045.96,Investment,Success
T000076,A00372,2024-01-30,Credit,ATM,5719.0,Healthcare,Success
T000077,A00254,2025-06-01,UPI,Mobile,873.34,Retail,Success
T000078,A00564,2024-08-10,ATM,ATM,2000.0,Cash Withdrawal,Success
T000079,A00005,2024-04-11,IMPS,Branch,10434.9,Healthcare,Success
T000080,A00470,2025-11-20,IMPS,Internet Banking,92319.1,Education,Success
T000081,A00548,2024-08-21,UPI,Mobile,3005.81,Utility,Success
T000082,A00143,2025-05-22,ATM,ATM,20000.0,Cash Withdrawal,Success
T000083,A00086,2024-12-01,UPI,Mobile,2954.3,Healthcare,Success
T000084,A00332,2025-12-04,IMPS,Mobile,26227.89,Investment,Success
T000085,A00458,2024-07-12,NEFT,Mobile,9702.92,Education,Reversed
T000086,A00525,2025-11-19,Credit,Internet Banking,2675.32,Travel,Success
T000087,A00108,2024-06-21,Credit,Branch,24548.71,Healthcare,Success
T000088,A00429,2024-05-05,Debit,Internet Banking,15536.14,Loan EMI,Success
T000089,A00288,2025-10-21,IMPS,Mobile,55933.22,Healthcare,Failed
T000090,A00518,2025-06-07,Debit,Internet Banking,13037.42,Travel,Success
T000091,A00243,2025-10-05,IMPS,Internet Banking,18259.63,Utility,Success
T000092,A00532,2025-11-25,Credit,Branch,8896.14,Investment,Success
T000093,A00322,2025-09-28,UPI,Mobile,619.61,Retail,Success
T000094,A00526,2025-04-22,Debit,Internet Banking,4571.89,Loan EMI,Success
T000095,A00576,2025-07-13,Credit,Mobile,19094.9,Investment,Success
T000096,A00480,2024-11-18,NEFT,Mobile,7885.89,Healthcare,Success
T000097,A00322,2025-12-24,Credit,Internet Banking,5091.91,Utility,Success
T000098,A00116,2025-08-05,ATM,ATM,20000.0,Cash Withdrawal,Success
T000099,A00503,2025-05-02,UPI,Mobile,1253.85,Travel,Success
T000100,A00528,2025-08-28,IMPS,Branch,36258.66,Education,Success
T000101,A00063,2024-01-29,UPI,Mobile,422.59,Travel,Success
T000102,A00028,2025-10-02,Debit,Mobile,14409.25,Investment,Success
T000103,A00372,2024-02-27,ATM,ATM,1000.0,Cash Withdrawal,Success
T000104,A00089,2025-12-05,Credit,ATM,12566.27,Travel,Success
T000105,A00346,2024-02-08,UPI,Mobile,3708.8,Healthcare,Success
T000106,A00281,2024-01-21,ATM,ATM,321560.03,Cash Withdrawal,Success
T000107,A00343,2025-08-09,Credit,Internet Banking,11758.58,Travel,Success
T000108,A00530,2025-05-29,NEFT,Branch,48810.44,Education,Success
T000109,A00466,2024-07-25,UPI,Mobile,823.27,Retail,Success
T000110,A00305,2024-09-28,Credit,Internet Banking,6650.26,Education,Failed
T000111,A00100,2025-08-29,Debit,Mobile,4015.29,Loan EMI,Success
T000112,A00080,2025-10-29,NEFT,Branch,19277.98,Education,Success
T000113,A00211,2025-02-28,UPI,Mobile,1182.74,Healthcare,Success
T000114,A00020,2025-10-04,ATM,ATM,1000.0,Cash Withdrawal,Success
T000115,A00500,2024-10-01,IMPS,Branch,74574.36,Retail,Success
T000116,A00062,2025-06-18,Debit,Internet Banking,5775.02,Utility,Success
T000117,A00319,2025-03-21,UPI,Mobile,5627.81,Retail,Success
T000118,A00281,2024-10-20,UPI,Mobile,2363.46,Utility,Success
T000119,A00251,2024-04-26,Credit,Mobile,14173.11,Education,Success
T000120,A00519,2025-07-27,IMPS,Mobile,34689.0,Utility,Success
T000121,A00030,2024-09-21,NEFT,Mobile,30112.93,Retail,Success
T000122,A00519,2024-01-21,Credit,Mobile,7226.5,Healthcare,Success
T000123,A00434,2025-01-07,ATM,ATM,500.0,Cash Withdrawal,Success
T000124,A00147,2024-08-29,Credit,Mobile,3555.76,Cash Withdrawal,Success
T000125,A00129,2024-11-16,Debit,Internet Banking,5929.63,Education,Success
T000126,A00113,2024-06-28,Debit,ATM,27928.78,Loan EMI,Success
T000127,A00058,2025-05-17,UPI,Mobile,2262.98,Retail,Success
T000128,A00260,2024-10-11,NEFT,Internet Banking,91663.65,Education,Success
T000129,A00327,2024-01-22,UPI,Mobile,920.57,Retail,Success
T000130,A00056,2025-12-08,IMPS,Branch,14312.93,Investment,Success
T000131,A00386,2025-12-02,Credit,Branch,11086.12,Loan EMI,Success
T000132,A00418,2024-09-18,Debit,Branch,6097.15,Cash Withdrawal,Success
T000133,A00469,2025-10-08,Debit,Internet Banking,12646.65,Retail,Success
T000134,A00525,2025-04-27,ATM,ATM,2000.0,Cash Withdrawal,Success
T000135,A00106,2024-06-13,ATM,ATM,10000.0,Cash Withdrawal,Success
T000136,A00583,2024-11-30,UPI,Mobile,321.2,Retail,Success
T000137,A00193,2025-10-07,UPI,Mobile,240052.72,Travel,Success
T000138,A00086,2024-04-23,Credit,Branch,13826.1,Investment,Success
T000139,A00511,2024-05-16,Debit,ATM,28394.29,Cash Withdrawal,Success
T000140,A00191,2025-02-06,NEFT,Branch,116079.07,Investment,Success
T000141,A00241,2024-04-01,IMPS,Internet Banking,49286.06,Education,Success
T000142,A00426,2025-09-24,UPI,Mobile,1590.05,Utility,Failed
T000143,A00179,2025-08-03,Credit,Internet Banking,12128.21,Loan EMI,Success
T000144,A00236,2025-12-31,Debit,ATM,3404.19,Cash Withdrawal,Success
T000145,A00461,2024-07-30,UPI,Mobile,797.42,Utility,Success
T000146,A00189,2025-02-22,NEFT,Internet Banking,74087.98,Education,Success
T000147,A00481,2024-09-11,Debit,Internet Banking,193243.46,Travel,Success
T000148,A00423,2025-12-04,Debit,Internet Banking,22438.76,Investment,Success
T000149,A00100,2025-07-24,Credit,ATM,11910.17,Education,Success
T000150,A00047,2024-01-06,Debit,Internet Banking,12309.14,Cash Withdrawal,Success
T000151,A00139,2025-07-26,Credit,Branch,8713.84,Cash Withdrawal,Success
T000152,A00360,2025-04-24,Credit,ATM,16925.24,Investment,Success
T000153,A00046,2024-05-10,UPI,Mobile,2908.78,Utility,Failed
T000154,A00300,2024-09-26,UPI,Mobile,759.56,Utility,Success
T000155,A00173,2024-11-19,ATM,ATM,5000.0,Cash Withdrawal,Success
T000156,A00470,2024-02-24,Debit,Mobile,3692.55,Education,Success
T000157,A00172,2025-12-23,UPI,Mobile,218.17,Retail,Failed
T000158,A00042,2025-03-28,Debit,Internet Banking,15018.63,Loan EMI,Success
T000159,A00155,2024-05-06,Debit,Branch,13952.23,Cash Withdrawal,Success
T000160,A00542,2024-10-06,UPI,Mobile,6661.17,Travel,Failed
T000161,A00561,2025-08-07,Debit,Mobile,11446.81,Education,Success
T000162,A00349,2024-01-27,Debit,Mobile,10121.7,Investment,Failed
T000163,A00112,2024-11-27,Credit,Mobile,12922.86,Loan EMI,Success
T000164,A00485,2025-10-05,IMPS,Branch,42148.59,Utility,Success
